Order_ID,Order_Date,Customer_ID,Gender,Age,Customer_Segment,Membership_Type,State,City,Region,Product_Name,Brand,Quantity,Unit_Price,Unit_Cost,Discount_Percentage,Revenue,Cost,Profit,Profit_Margin,Payment_Method,Order_Status
ORD100001,2021-07-12,CUST6991,Male,50,Corporate,Silver,Karnataka,Bengaluru,South,Laptop,HP,4,88319,58388,20,282620.8,233552,49068.8,17.36,UPI,Delivered
ORD100002,2021-09-11,CUST4657,Male,54,Premium,Silver,Tamil Nadu,Chennai,South,OLED TV,Sony,1,75226,56241,20,60180.8,56241,3939.8,6.55,Credit Card,Delivered
ORD100003,2024-03-15,CUST6054,Male,24,Corporate,Gold,Karnataka,Bengaluru,South,Earbuds,Apple,3,57937,39581,0,173811,118743,55068,31.68,UPI,Delivered
ORD100004,2023-05-26,CUST6146,Female,55,Premium,Gold,Telangana,Hyderabad,South,OLED TV,Sony,5,29995,22921,20,119980,114605,5375,4.48,Debit Card,Delivered
ORD100005,2025-11-28,CUST6627,Female,36,Retail,Silver,Tamil Nadu,Chennai,South,Galaxy Phone,Samsung,1,78290,56294,15,66546.5,56294,10252.5,15.41,Net Banking,Delivered
ORD100006,2025-04-15,CUST6140,Female,62,Small Business,Platinum,Gujarat,Ahmedabad,West,Gaming Console,Sony,2,67089,50114,0,134178,100228,33950,25.3,EMI,Delivered
ORD100007,2021-05-05,CUST6072,Female,36,Premium,Platinum,Andhra Pradesh,Vijayawada,South,iPad,Apple,1,38381,29132,0,38381,29132,9249,24.1,Debit Card,Delivered
ORD100008,2022-03-23,CUST5709,Male,65,Corporate,Gold,Gujarat,Ahmedabad,West,iPad,Apple,2,83074,56235,0,166148,112470,53678,32.31,EMI,Delivered
ORD100009,2025-12-15,CUST3243,Female,53,Small Business,Platinum,Andhra Pradesh,Vijayawada,South,Refrigerator,LG,2,61875,45934,10,111375,91868,19507,17.51,EMI,Cancelled
ORD100010,2022-04-21,CUST4822,Male,49,Corporate,Gold,Delhi,New Delhi,North,Air Fryer,Philips,2,22781,15242,5,43283.9,30484,12799.9,29.57,Debit Card,Delivered
ORD100011,2024-11-15,CUST9445,Male,47,Premium,Gold,Gujarat,Ahmedabad,West,Tablet,Samsung,5,77231,55859,5,366847.25,279295,87552.25,23.87,EMI,Delivered
ORD100012,2023-06-22,CUST3659,Male,39,Retail,Silver,Delhi,New Delhi,North,Refrigerator,LG,1,27983,18622,5,26583.85,18622,7961.85,29.95,UPI,Delivered
